Exchange,UniqueNo,SchemeCode,RTASchemeCode,AMCSchemeCode,ISINNO,SchemeType,SchemePlan,MinimumPurchaseAmount,AdditionalPurchaseAmountMultiple,MaximumPurchaseAmount,DividendReinvestmentFlag,SIPFLAG,STPFLAG,SWPFlag,SwitchFLAG,SETTLEMENTTYPE,StartDate,ExitLoadFlag,ExitLoad,LockinPeriodFlag,LockinPeriod,ChannelPartnerCode
B,8493,1218B-GR,1218B,1218B,INF209KA1CJ8,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,25-02-2014 00:00:00,N,0,N,0,B1218B
B,8495,1218C-DP,1218C,1218C,INF209KA1CL4,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,25-02-2014 00:00:00,N,0,N,0,B1218C
B,8540,1219A-DP,1219A,1219A,INF209KA1CQ3,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-02-2014 00:00:00,N,0,N,0,B1219A
B,8539,1219B-GR,1219B,1219B,INF209KA1CP5,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,28-02-2014 00:00:00,N,0,N,0,B1219B
B,8541,1219CDP,1219C,1219C,INF209KA1CR1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-02-2014 00:00:00,N,0,N,0,B1219C
B,8543,1220A-DP,1220A,1220A,INF209KA1CW1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-02-2014 00:00:00,N,0,N,0,B1220A
B,8542,1220B-GR,1220B,1220B,INF209KA1CV3,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,28-02-2014 00:00:00,N,0,N,0,B1220B
B,8545,1221A-DP,1221A,1221A,INF209KA1DA5,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-03-2014 00:00:00,N,0,N,0,B1221A
B,8544,1221B-GR,1221B,1221B,INF209KA1CZ4,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,04-03-2014 00:00:00,N,0,N,0,B1221B
B,8546,1221C-DP,1221C,1221C,INF209KA1DB3,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-03-2014 00:00:00,N,0,N,0,B1221C
